"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",5921.5409920817,6026.92424546918,5594.36261452441,5637.85553830549,5583.32772828037,5640.94343108935
"242",377.980124600457,379.129693382911,351.669514652489,349.439285989745,351.816679575327,346.787134809216
"246",363.279051015163,375.369131571974,342.709542967134,362.476116077611,346.164776336198,365.734895314278
"319",428.196509254159,430.199395012219,420.340655124372,427.654618453136,414.989010662513,426.352553691952
"325",417.096394820806,432.541024012581,403.15645249545,421.995747378274,403.833630144394,424.672163300483
"326",379.918296546929,387.623261185775,373.438144408735,383.393368439068,362.922278248704,385.760018067235
"390",456.129468685076,440.839735724011,440.747657080644,411.64468058744,428.339892350953,414.066316399704
"572",404.91629304228,410.175292973222,379.209452001974,397.115992301528,378.944047138299,400.543612385188
"580",395.66562166503,403.356972266879,367.388487852631,376.009032945221,370.036008003342,378.446386039078
"582",385.95707509693,384.508753885302,370.372588683427,374.624032337843,373.233632747151,376.962013284361
"584",396.259845393249,417.267776551305,376.349761024213,398.713509944471,379.463184085658,401.855410790091
"585",418.184922042463,412.325511256863,408.447442680564,383.635980998242,398.503949682418,386.597046257575
"839",402.858929759485,435.862201375791,391.786311737017,423.319177076628,374.372648527564,423.173587836669
"845",397.330553677364,408.205099261213,363.879956363477,396.156955911226,367.190823438094,399.619842211223
"854",386.194299829451,371.265969983427,376.646504910416,350.153556845251,375.531233192775,352.390384031766
