"","H","W","T","HW","HW+T"
"All",0.369303881959856,0.536566469067781,0.349786383194126,0.776979280655048,0.907479925497858
"242",0.483991650949553,0.755509141894615,0.427423528978889,0.8724630494276,0.95318619188026
"246",0.332010244576144,0.527926892608611,0.0328898189195469,0.750893433348287,0.845441702704092
"319",0.260761967012654,0.490420066322535,0.0470332156307552,0.560161633250022,0.622911333907523
"325",0.468901570975703,0.642021861794827,0.171497140820057,0.82079069451651,0.880345091539175
"326",0.690457566576373,0.68920170742216,0.214371791333118,0.847376726382945,0.875863002104926
"390",0.554642632518181,0.630357990209107,0.417363075347559,0.761303671464892,0.911017120697703
"572",0.560647247644571,0.508067775263829,0.0865997552944129,0.623702863515243,0.767736327286533
"580",0.233579174709958,0.444327177993492,0.141134979526959,0.5799119056578,0.834091133829508
"582",0.36272768555917,0.664724843290344,0.318724732855835,0.772995732483795,0.845272025280351
"584",0.736217901992533,0.739342479318206,0.0213698700134948,0.885783332054579,0.940624973194888
"585",0.532627544972496,0.552818068739455,0.367525504225866,0.64721850635334,0.866393575003411
"839",0.36830701360551,0.451812396433798,0.00970645229631584,0.512566154804597,0.6942455360592
"845",0.769534402738659,0.680890884254099,0.105373992046457,0.846212747145673,0.902029834626994
"854",0.154080544426537,0.610933041042142,0.128602155187696,0.441973225138,0.732199757442209
